id,first_part,second_part
3679557,3679557,
23043264     3506128,23043264,    3506128
23438330    3646402,23438330,   3646402
23438216    3601604,23438216,   3601604
3579457,3579457,
3709265,3709265,
23057412    3495574,23057412,   3495574
3780468,3780468,
3621575,3621575,
3739413,3739413,
3530961,3530961,
3624797,3624797,
3413243,3413243,
3694353,3694353,
3572711,3572711,
22610094,22610094,
3586974,3586974,
23455506           3607399,23455506,          3607399
24015914    3833349,24015914,   3833349
3805332,3805332,
,,
3656742,3656742,
3584654,3584654,
22971149    3466778,22971149,   3466778
23072351,23072351,
3477822,3477822,
3530960,3530960,
23458425    3630740,23458425,   3630740
20146481,20146481,
3504484,3504484,
23281892    3579312,23281892,   3579312
3411196,3411196,
3593610,3593610,
23373658,23373658,
3673662,3673662,
3574980,3574980,
3680818,3680818,
3602834,3602834,
3234094,3234094,
3653044,3653044,
3472478,3472478,
23576705     3727040,23576705,    3727040
,,
23599091,23599091,
23025831    3462035,23025831,   3462035
23731076    3670620,23731076,   3670620
23244291    3569044,23244291,   3569044
3444304,3444304,
23477577    3727344,23477577,   3727344
3357114,3357114,
3450431,3450431,
23668184,23668184,
3607463,3607463,
23421830    3576129,23421830,   3576129
3437796,3437796,
3444305,3444305,
3444173,3444173,
3725889,3725889,
23409903 23409903,23409903,23409903
3576085,3576085,
23239883    3561570,23239883,   3561570
3481300,3481300,
3234852,3234852,
3642348,3642348,
22992744     3493908,22992744,    3493908
3531748,3531748,
3436574,3436574,
23223336    3543027,23223336,   3543027
3795252,3795252,
3724652,3724652,
3597794,3597794,
3522294,3522294,
3774408,3774408,
3610987,3610987,
3610976,3610976,
3696691,3696691,
23344959     3585060,23344959,    3585060
3481303,3481303,
3789947,3789947,
3663556,3663556,
3947303,3947303,
23856774    3811480,23856774,   3811480
3553740,3553740,
23817378           3754341,23817378,          3754341
23877697,23877697,
3675966,3675966,
3697472,3697472,
3571300,3571300,
22988015    3497410,22988015,   3497410
,,
3497412,3497412,
3754575,3754575,
,,
23152534    3554137,23152534,   3554137
3648151,3648151,
3518918,3518918,
3624257,3624257,
3697669,3697669,
3554100                   2013 7 1,3554100,                  2013 7 1
,,
,,
,,
23255554    3653566,23255554,   3653566
,,
3501641,3501641,
3596968,3596968,
23002116    3790949,23002116,   3790949
3689249,3689249,
23043070    3790942,23043070,   3790942
3397259,3397259,
3697654,3697654,
22875964          3457148,22875964,         3457148
3624379,3624379,
,,
3581401,3581401,
3591638,3591638,
3438964,3438964,
3308871,3308871,
3265891,3265891,
3597819,3597819,
23129765    3531760,23129765,   3531760
3516716,3516716,
3581394,3581394,
3554938,3554938,
2757965,2757965,
,,
3234717,3234717,
3173209,3173209,
3696646,3696646,
3682544,3682544,
3431625,3431625,
3488092,3488092,
2339840    3591641,2339840,   3591641
3630886,3630886,
2952269,2952269,
3121340,3121340,
3567677,3567677,
3774368,3774368,
3630861,3630861,
23569211    3668706,23569211,   3668706
3488048,3488048,
3724654,3724654,
2797226,2797226,
3442528,3442528,
2898433,2898433,
3397837,3397837,
3750171,3750171,
2975197,2975197,
3234811,3234811,
3137072,3137072,
3522295,3522295,
3711325,3711325,
3591657,3591657,
3734580,3734580,
3173209,3173209,
3772201,3772201,
3663545,3663545,
3630849,3630849,
3527912,3527912,
23698002    3696650,23698002,   3696650
23443656,23443656,
3391134,3391134,
3757190,3757190,
23589301,23589301,
3811811,3811811,
3571495,3571495,
3697379,3697379,
3826327,3826327,
23409763,23409763,
23885220    3706957,23885220,   3706957
,,
,,
23713614,23713614,
23769672,23769672,
23971731,23971731,
22738332    3381227,22738332,   3381227
3533981,3533981,
3398262,3398262,
24020915    3846689,24020915,   3846689
23442822,23442822,
2843621,2843621,
3636053,3636053,
3526451,3526451,
3664635,3664635,
3570299,3570299,
3616814,3616814,
3566971,3566971,
3726342,3726342,
3640928,3640928,
3534503,3534503,
3579723,3579723,
3537519,3537519,
3637822,3637822,
3637551,3637551,
3637528,3637528,
3751660,3751660,
3766112,3766112,
3528429,3528429,
3685541,3685541,
3460760,3460760,
3750810,3750810,
23889909,23889909,
3439969,3439969,
3580495,3580495,
3706778,3706778,
3751770,3751770,
3672092,3672092,
3765385,3765385,
23327189    3566929,23327189,   3566929
3505738,3505738,
3520704,3520704,
3598237,3598237,
3655824,3655824,
3639825,3639825,
3444429,3444429,
3765893,3765893,
3723448,3723448,
3545919,3545919,
3546020,3546020,
3659006,3659006,
3727979,3727979,
3665474,3665474,
3570335,3570335,
3726453,3726453,
3190389,3190389,
3681581,3681581,
3708772,3708772,
3639180,3639180,
3721994,3721994,
3620707,3620707,
3544599,3544599,
3614520,3614520,
3652741,3652741,
3577477,3577477,
3765690,3765690,
3599138,3599138,
3570447,3570447,
3599138,3599138,
3651303,3651303,
3529683,3529683,
3750830,3750830,
3605375,3605375,
3716626,3716626,
3512037,3512037,
3525841,3525841,
23132696    3547489,23132696,   3547489
3535885,3535885,
3672996,3672996,
23132913    3535724,23132913,   3535724
3021913,3021913,
22533473,22533473,
,,
3312863,3312863,
3716635,3716635,
3750443,3750443,
,,
,,
,,
3844310,3844310,
2013,2013,
,,
3735389,3735389,
3664085,3664085,
3613719,3613719,
3848687,3848687,
3348006,3348006,
2013,2013,
3468404,3468404,
3691584,3691584,
3605132,3605132,
3502539,3502539,
3706230,3706230,
3723516,3723516,
3686680,3686680,
3495012,3495012,
3041663,3041663,
3668259,3668259,
3686250,3686250,
3521646,3521646,
,,
3612795,3612795,
3533021,3533021,
3657677,3657677,
3731707,3731707,
3752053,3752053,
3632971,3632971,
3786664,3786664,
3489107,3489107,
3724198,3724198,
3724199,3724199,
3730937,3730937,
3756517,3756517,
,,
,,
,,
3756527,3756527,
,,
3646288,3646288,
3623030,3623030,
3749517,3749517,
3586185,3586185,
3551213,3551213,
21903599,21903599,
24061777,24061777,
3624963,3624963,
3612744,3612744,
3752057,3752057,
,,
23665989,23665989,
,,
2013,2013,
3596772,3596772,
3812898,3812898,
,,
3730896,3730896,
3446777,3446777,
3534261,3534261,
23698510     3812900,23698510,    3812900
3576918,3576918,
3404183,3404183,
23516272    3612817,23516272,   3612817
3752052,3752052,
23761410    3756433,23761410,   3756433
3623037,3623037,
3646287,3646287,
23924687    3841754,23924687,   3841754
3664370,3664370,
3786614,3786614,
,,
,,
,,
,,
23709760           3756442,23709760,          3756442
,,
3703578,3703578,
3534254,3534254,
23931322          3736666,23931322,         3736666
23166325,23166325,
23554485    3664272,23554485,   3664272
3330789,3330789,
23264619    3576117,23264619,   3576117
23089748    3535899,23089748,   3535899
23115042    3536122,23115042,   3536122
3421817,3421817,
3415497,3415497,
3697714,3697714,
23232717    3520108,23232717,   3520108
3819183,3819183,
3178871,3178871,
24069883,24069883,
24069886,24069886,
24069913,24069913,
,,
,,
3607278,3607278,
3487483,3487483,
3757920,3757920,
3219211,3219211,
2013,2013,
,,
3566749,3566749,
3483757,3483757,
3179331,3179331,
3021922,3021922,
23734876,23734876,
3761323,3761323,
23931634     2013,23931634,    2013
3544544,3544544,
3458429,3458429,
3488812,3488812,
,,
3472342,3472342,
22972952     3544867,22972952,    3544867
3738821,3738821,
3757743,3757743,
3589712,3589712,
23785211    3754066,23785211,   3754066
3503237,3503237,
3418585,3418585,
3533127,3533127,
3489999,3489999,
3460180,3460180,
3561869,3561869,
3504671,3504671,
3527725,3527725,
24046445    3828593,24046445,   3828593
3558749,3558749,
3711043,3711043,
,,
3509734,3509734,
3621487,3621487,
3152927,3152927,
3699283,3699283,
3737725,3737725,
23861059,23861059,
,,
3603409,3603409,
3597032,3597032,
23704353    3730248,23704353,   3730248
3613178,3613178,
3613179,3613179,
3757329,3757329,
,,
3533396,3533396,
23606739,23606739,
23570314      3634610,23570314,     3634610
3687256,3687256,
,,
,,
,,
,,
13,13,
,,
3733066,3733066,
23994477,23994477,
3545681,3545681,
3652920,3652920,
3644702,3644702,
3607254,3607254,
3675675,3675675,
3607223,3607223,
3617368,3617368,
3778892,3778892,
3564995,3564995,
2881129,2881129,
3584010,3584010,
23319734     3672848,23319734,    3672848
23475217      3619528,23475217,     3619528
2766312,2766312,
3511132,3511132,
3704016,3704016,
3607403,3607403,
3549224,3549224,
3808153,3808153,
3738233,3738233,
3549118,3549118,
23672768,23672768,
23046981,23046981,
3378987,3378987,
23907068    3837358,23907068,   3837358
3516598,3516598,
3769921,3769921,
3591859,3591859,
3567269,3567269,
22898127    3830178,22898127,   3830178
23159264    3834139,23159264,   3834139
3740237,3740237,
3791410,3791410,
3763379,3763379,
,,
,,
3683944,3683944,
,,
3566542,3566542,
3787750,3787750,
3051108,3051108,
3112491,3112491,
3662031,3662031,
3662032,3662032,
3590452,3590452,
3759847,3759847,
22326920    3480643,22326920,   3480643
3694296,3694296,
23459248,23459248,
23085491     3714738,23085491,    3714738
3793867,3793867,
,,
3585959,3585959,
3314969,3314969,
23245760,23245760,
23452663,23452663,
23510580,23510580,
3580283,3580283,
3520009,3520009,
3605579,3605579,
3677098,3677098,
3526774,3526774,
3607215,3607215,
3590448,3590448,
3549493,3549493,
3661989,3661989,
3730055,3730055,
3639368,3639368,
,,
23246923    3573228,23246923,   3573228
3644682,3644682,
3732391,3732391,
3420011,3420011,
3326523,3326523,
3650559,3650559,
3464430,3464430,
19324410,19324410,
3510437,3510437,
3661979,3661979,
3791399,3791399,
3690479,3690479,
23041313 23041313,23041313,23041313
3607255,3607255,
3629568,3629568,
23040481    3510442,23040481,   3510442
23022959     3715701,23022959,    3715701
3590450,3590450,
3650558,3650558,
3694302,3694302,
3477630,3477630,
,,
,,
3719211,3719211,
23773550    3807794,23773550,   3807794
23143153    3566545,23143153,   3566545
,,
3664921,3664921,
2012                          2013,2012,                         2013
2013,2013,
2013,2013,
23103187    3502867,23103187,   3502867
3396843,3396843,
3502862,3502862,
22902756     3485558,22902756,    3485558
3525857,3525857,
3510434,3510434,
3580286,3580286,
3566480,3566480,
3356578,3356578,
3661981,3661981,
,,
,,
23932517,23932517,
23267662,23267662,
3437444,3437444,
3677094,3677094,
3414849,3414849,
3507630,3507630,
,,
23177648    3521961,23177648,   3521961
,,
3178012,3178012,
3782659,3782659,
,,
3730058,3730058,
3659288,3659288,
3605578,3605578,
2013,2013,
3682176,3682176,
3525856,3525856,
22155499    3381227,22155499,   3381227
20800751    3778978,20800751,   3778978
24064150    3849851,24064150,   3849851
23620154    3638368,23620154,   3638368
22591621    3427858,22591621,   3427858
21680110    3629561,21680110,   3629561
23541370    3744751,23541370,   3744751
,,
,,
3682189,3682189,
3526775,3526775,
3526772,3526772,
23707654    3744815,23707654,   3744815
3791403,3791403,
3632754,3632754,
3562441,3562441,
23220237    3630327,23220237,   3630327
3782662,3782662,
3556781,3556781,
23183165,23183165,
23538029    3659828,23538029,   3659828
,,
3640159,3640159,
,,
3655261,3655261,
23650598     3642154,23650598,    3642154
3502866,3502866,
3679489,3679489,
3679490,3679490,
3684770,3684770,
3605576,3605576,
3809933,3809933,
3507624,3507624,
3688188,3688188,
3611593,3611593,
3725413,3725413,
3725417,3725417,
,,
23376730    3591252,23376730,   3591252
3690473,3690473,
3556782,3556782,
3664922,3664922,
3684771,3684771,
3438445,3438445,
23137753,23137753,
3407873,3407873,
,,
,,
,,
3819990,3819990,
3819621,3819621,
23932869    3819985,23932869,   3819985
3572392,3572392,
3472557,3472557,
23291110,23291110,
3343258,3343258,
3161178,3161178,
3161179,3161179,
3781323,3781323,
3526791,3526791,
3526795,3526795,
3629941,3629941,
23806636,23806636,
,,
,,
3617599,3617599,
,,
3545201,3545201,
3566479,3566479,
,,
3793856,3793856,
23642644     3851688,23642644,    3851688
3625113,3625113,
3710969,3710969,
,,
3580288,3580288,
23046967           3540259,23046967,          3540259
3466423,3466423,
3437440,3437440,
23318955           3593212,23318955,          3593212
3605589,3605589,
3759848,3759848,
