 AADE Ed J; AADE editors' journal
 AANA J; AANA journal
 AARN News Lett; AARN news letter
 Nihon Shika Hyoron; Nihon shika hyoron The Nippon dental review
 Acad Peru Cir; Academia Peruana de Cirugia
 Acad Rev Calif Acad Periodontol; Academy review of the California Academy of Periodontology United States Section ARPA Internationale
 Acarologia; Acarologia
 Acquis Med Recent; Acquisitions medicales recentes
 Act Nerv Super Praha; Activitas nervosa superior
 Acta Allergol; Acta allergologica
 Acta Anaesthesiol; Acta anaesthesiologica
 Acta Anaesthesiol Belg; Acta anaesthesiologica Belgica
 Acta Anaesthesiol Scand; Acta anaesthesiologica Scandinavica
 Acta Anaesthesiol Scand Suppl; Acta anaesthesiologica Scandinavica Supplementum
 Acta Anat Basel; Acta anatomica
 Kaibogaku Zasshi; Kaibogaku zasshi Journal of anatomy
 Acta Biochim Biophys Acad Sci Hung; Acta biochimica et biophysica Academiae Scientiarum Hungaricae
 Acta Biochim Pol; Acta biochimica Polonica
 Across Board NY; Across the board
 Acta Biol Acad Sci Hung; Acta biologica Academiae Scientiarum Hungaricae
 Acad Manage Rev; Academy of management review Academy of Management
 Acta Biochim Biophys Hung; Acta biochimica et biophysica Hungarica
 Acta Biol Exp Warsz; Acta biologiae experimentalis
 Acad Manage J; Academy of Management journal Academy of Management
 Acta Belg Med Phys; Acta Belgica Medica physica  organe officiel de la Societe royale belge de medecine physique et de rehabilitation
 Shi Yan Sheng Wu Xue Bao; Shi yan sheng wu xue bao
 Acta Biol Hung; Acta biologica Hungarica
 Acta Biol Med Gdansk; Acta biologica et medica
 Acta Biol Med Ger; Acta biologica et medica Germanica
 Acta Biomed Ateneo Parmense; Acta bio-medica de L'Ateneo parmense  organo della Societa di medicina e scienze naturali di Parma
 Acta Biotheor; Acta biotheoretica
 Acta Cancerol Lima; Acta cancerologica
 Acta Cardiol; Acta cardiologica
 Acta Chem Scand A; Acta chemica Scandinavica Series A Physical and inorganic chemistry
 Acta Chem Scand B; Acta chemica Scandinavica Series B Organic chemistry and biochemistry
 Acta Chir Acad Sci Hung; Acta chirurgica Academiae Scientiarum Hungaricae
 Acta Chir Hung; Acta chirurgica Hungarica
 Acta Cardiol Suppl; Acta cardiologica Supplementum
 Acta Chir Belg; Acta chirurgica Belgica
 Acta Chir Ital; Acta chirurgica Italica
 Acta Chir Iugosl; Acta chirurgica Iugoslavica
 Acta Chir Orthop Traumatol Cech; Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca
 Acta Chir Plast; Acta chirurgiae plasticae
 Acta Chir Scand; Acta chirurgica Scandinavica
 Acta Chir Scand Suppl; Acta chirurgica Scandinavica Supplementum
 Acta Cient Venez; Acta cientifica venezolana
 Acta Clin Belg; Acta clinica Belgica
 Acta Clin Belg Suppl; Acta clinica Belgica Supplementum
 Acta Clin Odontol; Acta clinica odontologica  organo de difusion academica de Sociedad Antioquena de Endodoncistas  et al
 Acta Crystallogr; Acta crystallographica
 Acta Crystallogr A; Acta crystallographica Section A Crystal physics diffraction theoretical and general crystallography
 Acta Cytol; Acta cytologica
 Acta Embryol Morphol Exp; Acta embryologiae et morphologiae experimentalis "Halocynthia" Association"
 Acta Dermatol Kyoto Engl Ed; Acta dermatologica-Kyoto English edition
 Acta Derm Venereol; Acta dermato-venereologica
 Acta Derm Venereol Suppl Stockh; Acta dermato-venereologica Supplementum
 Hifuka Kiyo; Hifuka kiyo Acta dermatologica
 Acta Diabetol Lat; Acta diabetologica latina
 Acta Embryol Exp Palermo; Acta embryologiae experimentalis
 Acta Embryol Morphol Exp; Acta embryologiae et morphologiae experimentalis
 Acta Endocrinol Copenh; Acta endocrinologica
 Acta Endocrinol Suppl Copenh; Acta endocrinologica Supplementum
