,title
0,Psychological Medicine
1,Biomacromolecules
2,J Med Chem
3,J Org Chem
4,Journal of Medicinal Chemistry
5,Journal of Proteome Research
6,Mol Pharm
7,ACS Chemical Biology
8,Journal of Chemical Information and Modeling
9,Biochemistry
10,Gastroenterology
11,Journal of Biological Chemistry
12,Journal of Immunology
13,ACS Chemical Neuroscience
14,ACS NANO
15,American Chemical Society
16,Analytical Chemistry
17,Bioconjugate Chemistry
18,Journal of the American Chemical Society
19,ACS Nano
20,CHEST
21,Journal of Neurophysiology
22,Journal of Physiology
23,The Journal of Neurophysiology
24,American Journal of Psychiatry
25,Americal Journal of Psychiatry
26,Behavioral Neuroscience
27,Emotion
28,Health Psychology
29,Journal of Abnormal Psychology
30,Journal of Consulting and Clinical Psychology
31,Journal of Experimental Psychology:  Animal Behaviour Process
32,Journal of Experimental Psychology: Human Perception and Performance
33,Journal of Family Psychology
34,Psychological Assessment
35,Psychological Review
36,"Psychological Trauma: Theory research, practice and policy"
37,American Journal of Public Health
38,J Biol Chem.
39,JOURNAL OF BIOLOGICAL CHEMISTRY
40,The Journal of Biological Chemistry
41,American Journal of Pathology
42,Antimicrobial Agents and Chemotherapy
43,Antimicrob Agents Chemother
44,Clinical and Vaccine Immunology
45,Eukaryotic Cell
46,Infection and Immunity
47,Journal of Bacteriology
48,Journal of Virology
49,Mbio
50,Molecular and Cellular Biology
51,Journal of Clinical Microbiology
52,American Society for Nutrition
53,Blood
54,Blood Journal 2012
55,THE AMERICAN JOURNAL OF HUMAN GENETICS
56,Jounral of Clinical Microbiology
57,Speech Language and Hearing Research
58,J Biol Chem
59,Biologicial Chemistry
60,J Biol Chemistry
61,Journal of biological chemistry
62,Mol Cell Proteomics
63,Molecular and Cellular Proteomics
64,The journal of Biological Chemistry
65,Jnl Biological Chemistry
66,Journal Biological Chemistry
67,Journal of Biol Chem
68,Journal of Vision
69,Current Topics in Medicinal Chemistry
70,Current Analytical Chemistry
71,"Evidence, Ethos and Experiment: The Anthropology and History of Medical Research in Africa."
72,Biochem Journal
73,Molecular Cell
74,Arthritis Research & Therapy
75,J Neuroinflammation
76,BMC  Public Health
77,BMC Biology
78,BMC Genetics
79,BMC Genome Biology
80,BMC Genomics
81,BMC Health Services Research
82,BMC Medical Genetics
83,BMC Medicine
84,BMC Microbiology
85,BMC Molecular Biology
86,BMC Neurology
87,BMC Neuroscience
88,BMC Psychiatry
89,BMC Public Health
90,BMC Research Notes
91,BMC Veterinary Research
92,BMS Genomics
93,Clinical Proteomics
94,EvoDevo
95,Genome Biology
96,Genome Medicine
97,International Journal for Equity in Health
98,International Journal of Behavioral Nutrition and Physical Activity
99,International Journal of Behavioural Nutrition and Physical Activity
100,International Journal of Health Geographics
101,Journal of Cheminformatics
102,Journal of Neuroinflammation
103,Lipids in Health and Disease
104,Malaria Journal
105,Molecular Brain
106,Molecular Pain
107,Nutrition Journal
108,Orphanet Journal of Rare Diseases
109,Parasites and Vectors
110,Public Health
111,Respiratory Research
112,Virology Journal
113,BMC Genomics.
114,BMC Infectious Diseases
115,Hum Resour Health
116,Implement Sci.
117,Parasit Vectors.
118,RESPIRATORY RESEARCH
119,AIDS Research and Therapy
120,BMC Pediatrics
121,Human Resources for Health
122,Trials
123,BMC Infectious diseases
124,Veterinary Research
125,Biophysical Journal
126,European Journal of Endocrinology
127,Journal of Endocrinology
128,Journal of Molecular Endocrinology
129,Journal of molecular Endocrinology
130,"Reproduction(Cambridge, England)"
131,Cellular Microbiology
132,Arthritis Research and Therapy
133,BMC Medical Ethics
134,BMC Medical Imaging
135,Cost Effectiveness and Resource Allocation
136,BJOPHTHALMOL
137,BMJ
138,BMJ Open
139,British Journal of Ophthalmology
140,British Journal of Opthalmology
141,British Medical Journal
142,Frontline Gastroenterology
143,Journal of Clinical Pathology
144,Journal of Epidemiology & Community Health
145,Journal of Medical Ethics
146,Journal of Medical Genetics
147,"Journal of Neurology, Neurosurgery & Psychiatry"
148,"Journal of Neurology, Neurosurgery and Psychiatry"
149,Sexually Transmitted Infections
150,Gut
151,Archives of Disease in Childhood
152,BMJ OPEN
153,BMJ QUALITY AND SAFETY
154,Heart
155,Medical Humanities
156,Thorax
157,Sex Transm Infect.
158,BMJ open
159,Journal of Epidemiology and Community Health
160,Postgraduate Medical Journal
161,Veterinary Record
162,THORAX an international journal for Respiratory Medicine
163,European Journal of Health Law
164,Journal of Neuroscience
165,Heart and Circulatory Physiology
166,Antimicobial Agents and Chemotherapy
167,J Clin Microbiol
168,JOURNAL OF BACTERIOLOGY
169,mBio
170,International Psychogeriatrics
171,Parasitology
172,Medical History
173,Ageing & Society
174,British Journal for the History of Science
175,British Journal of the History of Science
176,Epidemiology and Infection
177,Expert Reviews in Molecular Medicine
178,International Journal of Law in Context
179,Jnl of the International Neuropsychological Society
180,Public Health Nutrition
181,Pyschological Medicine
182,Urban History
183,Visual Neuroscience
184,American Journal of Human Genetics
185,Stem Cell Reports
186,Journal of Clinical Endocrinology and Metabolism
187,Journal of Virol
188,Journal of the International AIDS Society
189,Genes & Development
190,Learning and Memory
191,Genome Research
192,RNA
193,Journal of Cell Science
194,Biology Open
195,Development
196,Developmental Cell
197,Disease Models and Mechanisms
198,J Cell Sci.
199,International Reviews of Immunology
200,Journal of the International African Institute
201,Cell Reports
202,American Journal for Clinical Nutrition
203,American Journal of Clinical Nutrition
204,Cell Press - Cell Reports
205,"G3: Genes, Genomes, Genetics"
206,GENETICS
207,Genetics
208,J Immunol
209,Proceedings of the National Academy of Sciences
210,The Journal of Immunology
211,Journal of Nutrition
212,PNAS
213,Neuroimage
214,Academy of Nutrition and Dietetics
215,American Journal of Geriatric Psychiatry
216,American Journal of Preventive Medicine
217,Analytical Biochemistry
218,Animal Behaviour
219,Applied Energy
220,Asian Journal of Psychiatry
221,Atherosclerosis
222,Biochim Biophys Acta
223,Behavior Research and Therapy
224,Behaviour Research and Therapy
225,Behavioural Brain Research
226,Biochemical and Biophysical Research Communications
227,Biochemical Pharmacology
